@relation 'hw4TrainData'

@attribute abstract_col string
@attribute domain_col {Computer-Science,Breast-Cancer,Aircraft}

@data
'The validity of the Computer Science and Applications, Inc. (CSA) accelerometer in assessing physical activity was assessed during treadmill walking and running at three different grades. Energy expenditure (EE) served as the criterion measure. CSA data were compared to data collected with the Caltrac accelerometer. Both accelerometers were sensitive to changes in treadmill speed, but neither discriminated changes in treadmill grade. Caltrac and CSA activity counts were significantly and similarly correlated with EE (r = 0.66-0.82), relative VO2 (r = 0.77-0.89), heart rate (r = 0.66-0.80), treadmill speed (r = 0.82-0.92), and with each other (r = 0.77-0.82). CSA data were used to develop models to predict EE (kcal.min-1). Cross-validation resulted in a mean difference between actual and predicted EE of 0.02 kcal.min-1 (SEE = 0.85 kcal.min-1). The range of individual differences in the validation group was large for both the CSA model (-2.86 to +3.86 kcal.min-1) and Caltrac (-4.17 to +2.04 kcal.min-1). It is concluded that the CSA and Caltrac accelerometers have similar validity and that either instrument can be used to estimate EE of groups.',Computer-Science
'The average faculty productivity have been described as a rapid rise-short peak-gradual decline pattern. Way et al. (2017) have studied this pattern for faculty careers in Computer Science in North America using a piecewise linear model. In this paper, we use a similar methodology and study trajectories (N = 20655) of the Brazilian Computer Science community. First, we have evaluated how the median publication count of researchers is related to institution prestige and public vs. private administration. Second, we have studied how the annual publication rates have increased and its variation according to prestige ranks of institutions. Third, we have found the average trajectory can indeed be described as the canonical rapid increase and slower decrease in productivity. For individual trajectories of senior researchers we have observed only 4.5% of trajectories are well explained by the conventional narrative of rapid rise and gradual decline model. We also have found polynomial models of degrees 1 to 3 explain almost 63.1% of trajectories. The rest of trajectories are considered unstable and not well explained by neither of approaches.',Computer-Science
'Nuclear cardiology has unique advantages compared to other modalities, since the image analysis is already much more automated compared to what is currently clinically performed for CT, MR, or echocardiography imaging. The diverse image and clinical data available to assess coronary disease function, perfusion, flow, and associated CT data provide new opportunities, but logistically these additional assessments increase the overall complexity of SPECT/PET reporting, necessitating additional expertise and time. The advances in artificial intelligence software can be leveraged to obtain comprehensive risk predictions and diagnoses from all available data. They will allow nuclear cardiology to retain competitive edge compared to other modalities and improve its overall clinical utility. These tools will enhance diagnosis and risk prediction beyond what is possible by subjective visual analysis and mental integration of data by physicians.',Computer-Science
'We assess and compare computer science skills among final-year computer science undergraduates (seniors) in four major economic and political powers that produce approximately half of the science, technology, engineering, and mathematics graduates in the world. We find that seniors in the United States substantially outperform seniors in China, India, and Russia by 0.76-0.88 SDs and score comparably with seniors in elite institutions in these countries. Seniors in elite institutions in the United States further outperform seniors in elite institutions in China, India, and Russia by ∼0.85 SDs. The skills advantage of the United States is not because it has a large proportion of high-scoring international students. Finally, males score consistently but only moderately higher (0.16-0.41 SDs) than females within all four countries.',Computer-Science
"In this paper, I posit that from a research point of view, Data Science is a language. More precisely Data Science is doing Science using computer science as a language for datafied sciences; much as mathematics is the language of, e.g., physics. From this viewpoint, three (classes) of challenges for computer science are identified; complementing the challenges the closely related Big Data problem already poses to computer science. I discuss the challenges with references to, in my opinion, related, interesting directions in computer science research; note, I claim neither that these directions are the most appropriate to solve the challenges nor that the cited references represent the best work in their field, they are inspirational to me. So, what are these challenges? Firstly, if computer science is to be a language, what should that language look like? While our traditional specifications such as pseudocode are an excellent way to convey what has been done, they fail for more mathematics like reasoning about computations. Secondly, if computer science is to function as a foundation of other, datafied, sciences, its own foundations should be in order. While we have excellent foundations for supervised learning-e.g., by having loss functions to optimize and, more general, by PAC learning (Valiant in Commun ACM 27(11):1134-1142, 1984)-this is far less true for unsupervised learning. Kolmogorov complexity-or, more general, Algorithmic Information Theory-provides a solid base (Li and Vitányi in An introduction to Kolmogorov complexity and its applications, Springer, Berlin, 1993). It provides an objective criterion to choose between competing hypotheses, but it lacks, e.g., an objective measure of the uncertainty of a discovery that datafied sciences need. Thirdly, datafied sciences come with new conceptual challenges. Data-driven scientists come up with data analysis questions that sometimes do and sometimes don't, fit our conceptual toolkit. Clearly, computer science does not suffer from a lack of interesting, deep, research problems. However, the challenges posed by data science point to a large reservoir of untapped problems. Interesting, stimulating problems, not in the least because they are posed by our colleagues in datafied sciences. It is an exciting time to be a computer scientist.",Computer-Science
'This paper addresses two questions related to reproducibility within the context of research related to computer science. First, requirements on reproducibility are analyzed based on a survey addressed to researchers in the academic and private sector. The survey indicates a strong need for open but also easily accessible results, thus reproducing an experiment should not require too much effort. The results from the survey are then used to formulate general guidelines for making research results reproducible. In addition, this paper explores a number of existing software tools that could bring forward reproducibility in research results. After a general analysis of tools a further investigation is done via three case studies based on actual research projects which are used to evaluate the previously introduced tools. Results indicate that due to conflicting requirements, none of the presented solutions fulfills all intended goals perfectly. However, we present requirements and guidelines for making research reproducible. While the main focus of this paper is on reproducibility in computer science, the results of this paper are still valid for other fields using computation as a tool.',Computer-Science
'The aim of the present study is to investigate both the performance and preferences of males and females Computer Science (CS) graduates. In order to attain the above goal, a quantitative case study was conducted regarding 89 degrees, acquired from 2006 to 2012, from the Department of Computer Science and Technology, University of Peloponnese, Greece. The analysis of the data revealed that in terms of performance, no significant differences between the mean grades of males and females exist, in almost most of the courses included in the curriculum of the aforementioned CS department. Any statistically significant differences in performances were present in almost equal number of courses in favor of males and females. It seems also, that females performed better in the courses they selected more than males. Regarding preferences, in CS courses, it seems that gender differences are existent. Males preferred more than females did core programming courses and advanced topics of Software Systems, computer networks, computer engineering, robotics and mathematics, whereas females preferred more the study of algorithms and security issues, computer fractals, data management, computer architecture, and mobile communication. In addition, females preferred courses in reference with humanities and social sciences, CS terminology, and career opportunities. Yet, females did not select any of programming lab-based courses, computer engineering, computer network issues and robotics.',Computer-Science
"The recent incentive auction of the US Federal Communications Commission was the first auction to reallocate radio frequencies between two different kinds of uses: from broadcast television to wireless Internet access. The design challenge was not just to choose market rules to govern a fixed set of potential trades but also, to determine the broadcasters' property rights, the goods to be exchanged, the quantities to be traded, the computational procedures, and even some of the performance objectives. An essential and unusual challenge was to make the auction simple enough for human participants while still ensuring that the computations would be tractable and capable of delivering nearly efficient outcomes.",Computer-Science
'This special issue on advancing interdisciplinary collaboration between computer scientists and social scientists documents the joint results of the international Lorentz workshop, "Interdisciplinary Insights into Group and Team Dynamics," which took place in Leiden, The Netherlands, July 2016. An equal number of scholars from social and computer science participated in the workshop and contributed to the papers included in this special issue. In this introduction, we first identify interaction dynamics as the core of group and team models and review how scholars in social and computer science have typically approached behavioral interactions in groups and teams. Next, we identify key challenges for interdisciplinary collaboration between social and computer scientists, and we provide an overview of the different articles in this special issue aimed at addressing these challenges.',Computer-Science
"Computing is highly segregated and stratified by gender. While there is abundant scholarship investigating this problem, emerging evidence suggests that a hierarchy of value exists between the social and technical dimensions of Computer Science and Engineering (CSE) and this plays a role in the underrepresentation of women in the field. This ethnographic study of women's experiences in computing offers evidence of a systemic preference for the technical dimensions of computing over the social and a correlation between gender and social aspirations. Additionally, it suggests there is a gap between the exaltation of computing's social contributions and the realities of them. My participants expressed a yearning to contribute to the collective well-being of society using their computing skills. I trace moments of rupture in my participants' stories, moments when they felt these aspirations were in conflict with the cultural values in their organizations. I interpret these ruptures within a consideration of yearning, a need my participants had to contribute meaningfully to society that remained unfulfilled. The yearning to align one's altruistic values with one's careers aspirations in CSE illuminates an area for greater exploration on the path to realizing gender equity in computing. I argue that before a case can be made that careers in computing do indeed contribute to social and civil engagements, we must first address the meaning of the social within the values, ideologies and practices of CSE institutions and next, develop ways to measure and evaluate the field's contributions to society.",Computer-Science
